english_source,swedish_opus,swedish_human,swedish_gpt,error_tags,gpt_acceptable,context
Tortuga it is.,Tortuga är det.,Tortuga blir det,Tortuga får det bli.,"[""SEM""]",True,"[""I've heard tell of it."", ""The Brethren of the Coast."", ""If they accept us, 'tis the only place we'll be safe."", ""No one would dare come after us, not even the Governor of the Carolinas."", ""I don't know, Mr. Botts."", ""We've no choice, lad."", ""We'd best put it to a vote."", ""What say ye, gentlemen?"", ""Tortuga?"", ""Tortuga!""]"
This dope watch.,Den här knarkklockan.,Den här fräna klockan,Den här jävla knarkklockan.,"[""SL"", ""DIR"", ""BET""]",False,"[""- Nope."", ""Pfft, well then, that's awesome."", ""We're agreed."", ""I will go buy a brand new TV with this pile of cash over here."", ""- Right?"", ""- Right!"", ""Right!"", ""What has money ever done for anyone?"", ""Human flight."", ""Cancer research.""]"
TO BE CONTINUED,SKALL FORTSÄTTAS,FORTSÄTTNING FÖLJER,FORTSÄTTNING FÖLJER,"[""ID"", ""SEM""]",True,"[""!"", ""Impossible!"", ""In April, 2012, Light Yagami, age 23, joins the National Police Agency."", ""In the summer of 2012,"", ""Kira's judgments gain momentum."", ""The world screams in fear of Kira, but privately it cheers for him."", ""Slowly, their true thoughts come out, and some countries even express their acceptance of Kira."", ""The world continues towards a dark era where Kira is the law."", ""What is it, Roger?"", ""L is dead.""]"
Poison the notebook fear the lust,Gifta anteckningsboken fruktar lusten,Förgifta anteckningsboken frukta lusten,Förgifta anteckningsboken frukta lysten,"[""LF"", ""GR"", ""BET""]",False,"[""Kira's judgments gain momentum."", ""The world screams in fear of Kira, but privately it cheers for him."", ""Slowly, their true thoughts come out, and some countries even express their acceptance of Kira."", ""The world continues towards a dark era where Kira is the law."", ""What is it, Roger?"", ""L is dead."", ""TO BE CONTINUED"", ""This single page Forever depressing"", ""A fleeting tactic in the eyes"", ""Without petition evil against the law chain it in prison""]"
Delusion of being deceived perpetually drooling,Bedrägeri av att bli lurad för evigt dreglande,Föreställning om att bli bedragen ständigt dreglandes,"Villfarelse av att ständigt bli bedragen, evigt dreglande","[""LF"", ""BET"", ""SEM""]",False,"[""The world screams in fear of Kira, but privately it cheers for him."", ""Slowly, their true thoughts come out, and some countries even express their acceptance of Kira."", ""The world continues towards a dark era where Kira is the law."", ""What is it, Roger?"", ""L is dead."", ""TO BE CONTINUED"", ""This single page Forever depressing"", ""A fleeting tactic in the eyes"", ""Without petition evil against the law chain it in prison"", ""Poison the notebook fear the lust""]"
We are not delusional like you.,Vi är inte vanföreställningar som du.,Vi är inte vansinniga som du,Vi är inte vanföreställda som du.,"[""LF"", ""BET""]",False,"[""Even this meeting is being held because of your unfounded optimism."", ""When will we begin if not today?"", ""What is the deadline, sir?"", ""October 29."", ""Impossible."", ""It's only four months, sir."", ""Even Americans need a year for a new car."", ""Why do you oppose right away, sir?"", ""Because we are realistic."", ""Because we are aware of our economic situation.""]"
Didn't you get the big job in California?,Fick du inte det stora jobbet i Kalifornien?,Fick inte du det viktiga jobbet i Kalifornien?,Fick du inte det stora jobbet i Kalifornien?,"[""DIR"", ""GR"", ""SEM""]",False,"[""Uh, I spoke to my lawyer."", ""He said not to panic."", ""It's probably just routine."", ""- Have you got some coffee?"", ""- Coffee?"", ""Yeah."", ""Right!"", ""Good idea."", ""We'll just have coffee like any normal married couple."", ""How's the composing?""]"
"On the slaloms, you know?","På slalomerna, du vet?","På slalomskidorna, du vet?","På slalombanorna, du vet?","[""LF"", ""BET""]",False,"[""Look."", ""Give me camera, huh?"", ""- We need blue sky."", ""Ah!"", ""- Mm-hmm."", ""We are on honeymoon, and we have to smile like oafs."", ""Okay, now, do it, yes."", ""- Do on the skis, okay?"", ""- Okay, I'll do one. l-l'll do one."", ""Okay.""]"
We decided the Swahili bit was pushing it and asked him to wait at the raft.,Vi bestämde att swahilibiten knuffade den och bad honom vänta vid flotten.,Vi kom fram till att swahilibiten blev lite väl mycket och bad honom vänta vid flotten.,Vi bestämde att swahiligrejen gick för långt och bad honom vänta vid flotten.,"[""SL"", ""DIR"", ""BET""]",False,"[""- because you are so sweet."", ""- Why, thank you ever so."", ""And these are the girls we're lettin' those reptiles... rob of their money."", ""- A right good day, MaryJane !"", ""- Good day to you, Adolphus."", ""Ah, we've just been... for a marvellous walk in the woods."", ""What a lovely country !"", ""Ha-ha-ha !"", ""A right good day, sirs !"", ""Would you happen to know where the-- the great Swahili warrior's sleepin' ?""]"
I'M NOT GOING IN THERE WITH A DENTED HEAD.,Jag tänker inte gå in dit med ett dött huvud.,Jag går inte in dit med buckligt huvud,JAG GÅR INTE DÄR MED EN INTRYCKT SKALLE.,"[""LF"", ""ADD"", ""BET""]",True,"[""I'LL MAKE YOU ALL BETTER."", ""YOU'RE GONNA LOVE THIS."", ""WHAT THE HECK ARE YOU DOING?"", ""MAKING YOU A CHICKEN SOUP."", ""ARE YOU READY TO PITCH THAT BIG ACCOUNT TODAY, JESS?"", ""LOOKING GOOD, JOSEPH."", ""LOOKING SHARP, JESS."", ""I'M PUMPED."", ""I'M PSYCHED."", ""HOLD IT.""]"
"This is from Andre Christian, girl.","Det här är från Andre Christian, flicka.","Det här är från Andre Christian, tjejen","Det här är från Andre Christian, tjejen.","[""GR"", ""SEM""]",True,"[""\u266a her two front tits, her two front tits \u266a"", ""Our mother even nurses us!"", ""She's a good woman."", ""\u266a My mommy is a drag queen, look, I say \u266a"", ""Emcee:"", ""From the house of xtravaganza, for \""mother of the year,\"""", ""keeping her children intact, can we have Angie xtravaganza?"", ""[ Cheers and applause ]"", ""Work for us, girl."", ""Work that runway.""]"
"AS FOR ENOCH AND MYRNA,","Som för Enoch och MyRNA,","Gällande Enoch och Myrna,","VAD GÄLLER ENOCH OCH MYRNA,","[""DIR"", ""SEM""]",True,"[""MA..."", ""MA..."", ""MA."", ""MA..."", ""MA."", ""HA HA HA!"", ""HA HA HA!"", ""OH, SORRY, KIDDIES,"", ""BUT THAT STORY JUST MAKES ME GO ALL TO PIECES."", ""I WAS A CUTE LITTLE TERROR TYKE, THOUGH, WASN'T I?""]"
I GUESS YOU FIGURED OUT BY NOW,Jag antar att du har kommit ut vid det här laget,antar jag att ni listat ut vid det här laget,JAG GISSAR ATT NI HAR FATTAT DET NU,"[""LF"", ""BET""]",True,"[""MA..."", ""MA."", ""MA..."", ""MA."", ""HA HA HA!"", ""HA HA HA!"", ""OH, SORRY, KIDDIES,"", ""BUT THAT STORY JUST MAKES ME GO ALL TO PIECES."", ""I WAS A CUTE LITTLE TERROR TYKE, THOUGH, WASN'T I?"", ""AS FOR ENOCH AND MYRNA,""]"
"Stambul, capital of Turkey, year 1990.","Stambul, huvudstad i Turkiet, år 1990.","Stambul, Turkiets huvudstad, år 1990","Stambul, Turkiets huvudstad, år 1990.","[""PR""]",True,"[""41th area, number of a grave 8-7."", ""Senya."", ""Come with me."", ""Why you here alll by yourself, ha?"", ""Come?"", ""Come, my dear good man."", ""Here they will bury me..."", ""We'll see each other in afterlife, there's no borders there."", ""Go on."", ""Go on.""]"
Israel spy.,Israel spionerar.,Israelisk spion,Israelsk spion.,"[""LF"", ""BET""]",False,"[""Come?"", ""Come, my dear good man."", ""Here they will bury me..."", ""We'll see each other in afterlife, there's no borders there."", ""Go on."", ""Go on."", ""Stambul, capital of Turkey, year 1990."", ""You the one who was suppose to be here back then?"", ""Where have you been?"", ""--Was learning arabic, in prison.--Smugglin'?""]"
Get in the Farmington School?,Kom in på Farmingtonskolan?,Komma in på Farmingtonskolan?,Kom in på Farmington School?,"[""GR"", ""SEM""]",False,"[""She was working for the Red Cross, and she never came back to New York."", ""But I never had a chance to do anything like that... 'cause Mother wasn't well during the war."", ""She had her eye operation."", ""I missed out on everything."", ""I missed out on the reunion of my graduating class in Farmington... because that was the fall that Jack Kennedy campaigned to get in... and I was stuck here with Mother, the cats, the house and T. Logan... and I couldn't go."", ""No, you said you didn't want them to know how old you were."", ""The 25th reunion of my class."", ""No, I think..."", ""\""Well, I didn't want them to know my age,\"" says Edie."", ""No, I would have enjoyed that, Mother... because Jack Kennedy campaigned to get in and won.""]"
In spirit anyway.,I anden i alla fall.,I tanken i vilket fall,Andligt i alla fall.,"[""DIR"", ""SEM""]",False,"[""In my eyes"", ""And I realize"", ""That I'm going home"", ""I'm going home"", ""I'm going home"", ""I'm going home"", ""How sentimental."", ""And also presumptuous of you."", ""You see, when I said \""we\"" were to return to Transylvania I referred only to Magenta and myself."", ""I'm sorry, however, if you found my words misleading but you see you are to remain here.""]"
"Envy is a big one, of course.","Avundsjuka är en stor en, naturligtvis.","Avund är en stor en, givetvis","Avund är en stor en, förstås.","[""PR""]",True,"[""- But it cuts in quite nicely."", ""- Yes, it works."", ""We're looking as if we didn't like him."", ""Well, but I didn't."", ""You see?"", ""I didn't."", ""Well, he was always beating the shit out of you."", ""I decided Riff didn't like him very much and was resentful for several reasons."", ""We were giving him his time."", ""Envy.""]"
Giving the ball game some pretty stiff competition.,Ge bollen spelet några ganska hård konkurrens.,Som ger matchen en hel del hård konkurrens.,Ger baseballmatchen ganska hård konkurrens.,"[""DIR"", ""BET"", ""SEM""]",False,"[""Nope."", ""First pitch."", ""How do you know she pitched?"", ""Huh?"", ""He might have done the pitching."", ""Remember Casanova?"", ""He was Italian too."", ""Ollie, what are you talking about?"", ""What do you mean what am I talking about?"", ""I'm talking about our two friends over there.""]"
Makes me not feel so bad about stealing her boyfriend.,Det gör mig inte så ledsen att jag stal hennes pojkvän.,Det får mig att känna mig mindre ledsen över att stjäla hennes pojkvän,Får mig att inte må så dåligt över att ha stulit hennes pojkvän.,"[""SAK"", ""SEM""]",True,"[""Giving the ball game some pretty stiff competition."", ""Well, good for them."", ""What's wrong with that?"", ""Johnny's a swell guy, and she's a peach."", ""I just wish they weren't so angry at us."", ""You mean you knew that was going on?"", ""Nope."", ""But I'm glad."", ""You are?"", ""Mm-hmm.""]"
"Oh, don't be absurd",Var inte absurd.,"Men oj,  var inte löjlig.","Åh, var inte löjlig.","[""SAK"", ""SEM""]",True,"[""You are?"", ""Mm-hmm."", ""Makes me not feel so bad about stealing her boyfriend."", ""You're strong, you know that?"", ""Mm-hmm."", ""All gone."", ""Hey, that's a good idea."", ""We'll let them see us."", ""What?"", ""You're jealous?""]"
Me jealous?,Är jag svartsjuk?,Jag? svartsjuk?,"Jag, avundsjuk?","[""ADD"", ""SEM""]",False,"[""Mm-hmm."", ""Makes me not feel so bad about stealing her boyfriend."", ""You're strong, you know that?"", ""Mm-hmm."", ""All gone."", ""Hey, that's a good idea."", ""We'll let them see us."", ""What?"", ""You're jealous?"", ""Oh, don't be absurd.""]"
You thought she'd be pining away for you.,Du trodde att hon skulle sticka åt dig.,Du trodde hon skulle längta sönder efter dig,Du trodde hon skulle sitta och längta efter dig.,"[""LF"", ""BET"", ""SEM""]",False,"[""Mm-hmm."", ""All gone."", ""Hey, that's a good idea."", ""We'll let them see us."", ""What?"", ""You're jealous?"", ""Oh, don't be absurd."", ""Me jealous?"", ""You are!"", ""I am not.""]"
Now just be quiet and watch the ball game.,Var tyst och titta på matchen.,Var bara tyst nu och titta på matchen,Var bara tyst och kolla på baseballmatchen.,"[""SAK"", ""SEM""]",False,"[""Hey, that's a good idea."", ""We'll let them see us."", ""What?"", ""You're jealous?"", ""Oh, don't be absurd."", ""Me jealous?"", ""You are!"", ""I am not."", ""You thought she'd be pining away for you."", ""I certainly didn't have any such thought.""]"
That reminds me.,Det påminner mig,Det fick mig att tänka på en sak.,Det påminner mig.,"[""DIR"", ""SEM""]",False,"[""A superhuman beast, let's not forget."", ""Yeah."", ""So, are you guys really back together?"", ""I think so."", ""I mean,"", ""JT changed."", ""He really started caring more about what I needed from him, but I still wasn't sure until I realized I just..."", ""I didn't want to leave his side, no matter what."", ""That's romantic."", ""It's actually suicidal, given Liam's still after him.""]"
Did you hear about the horse that could pitch and field as good as Babe Ruth?,Hörde du om hästen som kunde kasta och åker lika bra som Babe Ruth?,Har du hört om hästen som kunde sköta fältet lika bra som Babe Ruth?,Hörde du om hästen som kunde kasta och spela fält lika bra som Babe Ruth?,"[""GR"", ""SEM""]",False,"[""Oh, don't be absurd."", ""Me jealous?"", ""You are!"", ""I am not."", ""You thought she'd be pining away for you."", ""I certainly didn't have any such thought."", ""Now just be quiet and watch the ball game."", ""Hey, Ollie."", ""That reminds me."", ""What?""]"
Finish it.,Gör slut på det.,Avsluta det,Avsluta det.,"[""ADD"", ""SEM""]",True,"[""They were chanting, like some sort of ritual... for some higher being."", ""Higher than an overlord?"", ""Cochise, is there something you haven't told us?"", ""Uh..."", ""I never thought it possible."", ""Hello."", ""Aah!"", ""Get up!"", ""Come on, come on!"", ""Finish it.""]"
"But...because of Maya's mistake, THIRD-i spotted the place.","Men... på grund av Mayas misstag, upptäckte jag stället.",Men... På grund av Mayas misstag upptäckte THIRD-i platsen.,Men… på grund av Mayas misstag upptäckte THIRD-i platsen.,"[""LF"", ""BET""]",True,"[""Capture them!"", ""Capture all of them!"", ""Don't let a single one escape!"", ""It was kind of fun, Takagi Fujimaru-kun."", ""You surely are an outstanding hacker."", ""But that's all."", ""Forgive me, Kirishima."", ""Everything...will be over in an instant..."", ""This world's last Monday..."", ""Good job, everyone.""]"
You boys familiar with good cop/bad cop?,Känner ni till bra polis/dålig polis?,"Känner ni killar till ""good cop/bad cop""?",Är ni grabbar bekanta med snäll polis/elak polis?,"[""SAK"", ""SEM"", ""PR""]",False,"[""Shoot them, pendejo."", ""Damn it, Lonnie."", ""Let's go."", ""Let's go."", ""I wouldn't do that."", ""I give up."", ""Go."", ""Hurry."", ""Watch these two."", ""I'll get these other guys.""]"
There are three things to be a plumber.,Det finns tre saker att vara rörmokare på.,Det finns tre grejer med att vara rörmokare,Det finns tre saker för att bli rörmokare.,"[""LF"", ""BET""]",False,"[""Well, I tell you."", ""You plumbers sure are lifesavers."", ""Well, I'll tell you what,"", ""I appreciate that, but you know what?"", ""This job, it ain't, uh, what it's, uh--"", ""It's cracked up to be."", ""- Must be hard."", ""Bet it is."", ""There are three things--"", ""There is, uh-- Three things to, uh--""]"
"If you have any problems I will be here, making art.",Om du har några problem kommer jag att vara här och göra konst.,Har du några som helst problem kommer jag vara här och skapa konst,Om du har några problem kommer jag att vara här och skapa konst.,"[""DIR"", ""SEM"", ""PR""]",False,"[""Yeah, that's me."", ""So, you work here?"", ""Andrew."", ""Yeah, part time."", ""Where's your outfit thingy?"", ""Oh, I try not to wear that outside the restaurant or anywhere in the general public."", ""Well, let me have a look for you."", ""I think it's \""Self Matters\""."", ""Should be in the Self Help."", ""Thanks.""]"
"Oh, it's not for me, it's a gift.","Det är inte till mig, det är en gåva.","Åh nej, det är inte till mig, det är en present","Åh, det är inte till mig, det är en present.","[""SAK"", ""SEM"", ""PR""]",True,"[""Andrew."", ""Yeah, part time."", ""Where's your outfit thingy?"", ""Oh, I try not to wear that outside the restaurant or anywhere in the general public."", ""Well, let me have a look for you."", ""I think it's \""Self Matters\""."", ""Should be in the Self Help."", ""Thanks."", ""If you have any problems I will be here, making art."", ""Good to know.""]"
Maybe he's an aspiring country singer.,Han kanske är en blivande lantsångare.,Kanske är han en blivande countrysångare?,Kanske är han en blivande country-sångare.,"[""GR"", ""SEM""]",True,"[""Dinner?"", ""Shit like actual dinner at a table with no television involved?"", ""Yeah I think so."", ""Oh why?"", ""My Mom wants me to have dinner with her boyfriend."", ""Shit."", ""Yeah."", ""Hey maybe he's a good guy."", ""Maybe he really loves her."", ""Maybe he's twenty-two.""]"
That's fucking hysterical man.,Det är en jävla hysterisk man.,"Det där är hysteriskt roligt, mannen","Det är fan hysteriskt, mannen.","[""SL"", ""DIR"", ""SEM""]",False,"[""Shit like actual dinner at a table with no television involved?"", ""Yeah I think so."", ""Oh why?"", ""My Mom wants me to have dinner with her boyfriend."", ""Shit."", ""Yeah."", ""Hey maybe he's a good guy."", ""Maybe he really loves her."", ""Maybe he's twenty-two."", ""Maybe he's an aspiring country singer.""]"
"We exchange small talk talk about the weather, things like that?",Byter vi småprat om vädret?,"Vi småpratar, talar om vädret, såna saker?","Vi småpratar om vädret, sånt där?","[""DIR"", ""SAK"", ""BET""]",False,"[""Yeah."", ""Hey maybe he's a good guy."", ""Maybe he really loves her."", ""Maybe he's twenty-two."", ""Maybe he's an aspiring country singer."", ""That's fucking hysterical man."", ""So, this is dinner."", ""Yeah."", ""Yeah."", ""So how exactly is this supposed to work?""]"
"Cody, are you a broccoli type of guy or a carrot type of guy?","Cody, är du en broccoli typ av kille eller en morot typ av kille?","Cody, är du en broccolikille eller morotskille?","Cody, är du en broccoli-kille eller en morots-kille?","[""DIR"", ""GR"", ""SEM""]",True,"[""Maybe he's an aspiring country singer."", ""That's fucking hysterical man."", ""So, this is dinner."", ""Yeah."", ""Yeah."", ""So how exactly is this supposed to work?"", ""We exchange small talk talk about the weather, things like that?"", ""Weather was nice today wasn't it?"", ""Yeah it was a nice weather day today."", ""Cody's moving in with us.""]"
Studies suggest that the wolf became the dog when wolves began to follow hunters to scavenge on the kills that they had left behind.,Studier tyder på att vargen blev hunden när vargarna började följa jägare för att leta efter de döda som de hade lämnat efter sig.,Studier tyder på att vargen blev till hund när vargarna började följa efter jägare för att söka runt efter fällt vilt de lämnat efter sig,Studier tyder på att vargen blev hund när vargar började följa jägare för att rensa upp efter deras byten.,"[""GR"", ""LF"", ""SEM""]",False,"[""You don't have to run."", ""But I think he knew that he was basically facing what he was gonna face soon."", ""This year, wolves lost their endangered species protection."", ""Wolves keep forests and streams healthy, they're wilderness allies."", ""50% of wolf pups die of starvation, and many wolves are poached."", ""While Minnesota's original plan had a five-year waiting period, a new wolf hunting and trapping bill is now being passed by the legislature with no regard to its impact."", ""We are recklessly endangering our wolves."", ""Tell governor Dayton to stop the wolf hunt."", ""We are about to lose all that we worked so hard to save."", ""Don't silence our wilderness.""]"
Get a bus.,Hämta en buss.,Få hit en buss,Ta en buss.,"[""DIR"", ""SEM""]",False,"[""- We need to set up a perimeter on this block."", ""- Right away."", ""And get the air unit headed this way."", ""Shooter's a male, white, 35 to 40 years old... 6'2\"", 210, short blond hair... dark blue jeans, hole in left knee, green plaid shirt... over a long-sleeve white T-shirt, black tennis shoes."", ""He's got a silver. 38 snub nose, and he runs like a deer."", ""Get him."", ""Freeze!"", ""Drop your weapon and put your hands in the air."", ""Yeah."", ""I don't give a shit about him.""]"
Am I gaining ground Am I losing face,Håller jag på att vinna mark Förlorar jag ansiktet,Vinner jag terräng? Tappar jag ansiktet?,"Vinner jag mark, förlorar jag ansiktet.","[""SEM"", ""PR""]",False,"[""Freeze!"", ""Drop your weapon and put your hands in the air."", ""Yeah."", ""I don't give a shit about him."", ""Get a bus."", ""We got an officer down."", ""So pretty and, oh, so bold"", ""Got a heart full of gold on a lonely road"", ""- She said, \""I don't even think that God can save me\"""", ""- Save me""]"
Thoughtful.,Tänksamt.,Omtänksamt,Eftertänksamt.,"[""LF"", ""BET""]",False,"[""I'm there."", ""I'm there."", ""I thought you killed him."", ""- Rhetta, come on, man."", ""- Thank God."", ""- Let go."", ""- You scared the shit out of me."", ""Would you have loaned me your minivan to bury him?"", ""No."", ""- I was gonna wrap him in plastic, so I wouldn't transfer evidence.""]"
"Riley is gonna make it, folks.",Riley klarar sig.,"Riley kommer klara sig, allihopa","Riley kommer att klara det, gott folk.","[""SAK"", ""SEM""]",False,"[""Well, he was always so good with you kids."", ""Please, be careful, honey."", ""The church has been through so much."", ""...this morning, in case you haven't heard about it."", ""He's alert."", ""He's wagging his tail."", ""He ate some food."", ""Ate a lot, I heard."", ""I guess he was hungry."", ""This is always a good sign.""]"
"It is the end of chemistry, as we know it.","Det är slutet på kemin, som vi känner den.","Det här är slutet för kemin, som vi känner den.","Det är slutet för kemin, som vi känner den.","[""PR""]",True,"[""I pray to God that never happen to you."", ""Welcome, bad girl."", ""All right, ladies and gentlemen please, cease its reports on my desk, sure you have cleaned well their tables, which were dirty."", ""Or lose points on the test."", ""If you have things missing, I immediately sought."", ""So, make sure that ..."", ""Four test tubes, three pipettes ... and a number of nozzles bunsen."", ""Okay, everything seems be in order."", ""Keys."", ""Natalie, keys.""]"
"I'm a gold-digger, burrowing in from the land of opportunists.",Jag är en guldgrävare som gräver sig in från opportunisternas land.,"Jag är en gold-digger, som gräver sig in från opportunisternas land.","Jag är en gulddiggerska, som borrar mig in från opportunisternas land.","[""PR""]",False,"[""Incoming!"", ""Have you met my namesake?"", ""He's very good in bed."", ""- Shh!"", ""They'll hear you."", ""- l don't care."", ""I do."", ""I know we need the heat, but please don't smoke."", ""Mother's clairvoyant about these things."", ""She loathes me, Johnnie.""]"
With proper asphalt.,Med rätt asfalt.,Med ordentlig asfalt,Med ordentlig asfalt.,"[""SEM""]",True,"[""No."", ""Okay, I'll let Maria del Carmen know, and we'll look for it."", ""- Emilse!"", ""- Yes, sir."", ""- This is very serious."", ""- Yes, sir."", ""- What did he want?"", ""- The usual."", ""He lost money."", ""If I had half the money they get, I'd pave it all.""]"
It's flat.,Det är platt.,Den är avslagen.,Det är platt.,"[""DIR"", ""BET""]",False,"[""- I'm coming!"", ""- You'll open it, Senor Pablo?"", ""- Yes."", ""Sorry, Antonio, but I've been waiting for that call since this morning."", ""- This is Mom's writing, isn't it?"", ""- Yes."", ""We'll see how it is after all this time."", ""A good champagne."", ""Is it cold?"", ""Yes, it's fine.""]"
The cork is fine.,Korken är bra.,Korken är okej,Korken är okej.,"[""SEM""]",True,"[""- You'll open it, Senor Pablo?"", ""- Yes."", ""Sorry, Antonio, but I've been waiting for that call since this morning."", ""- This is Mom's writing, isn't it?"", ""- Yes."", ""We'll see how it is after all this time."", ""A good champagne."", ""Is it cold?"", ""Yes, it's fine."", ""It's flat.""]"
Let's see about the rest.,Låt oss se om resten.,Då får vi kolla hur det är med resten,Låt oss se resten.,"[""DIR"", ""SEM""]",False,"[""- Yes."", ""Sorry, Antonio, but I've been waiting for that call since this morning."", ""- This is Mom's writing, isn't it?"", ""- Yes."", ""We'll see how it is after all this time."", ""A good champagne."", ""Is it cold?"", ""Yes, it's fine."", ""It's flat."", ""The cork is fine.""]"
You'll toast but not drink.,"Du skålar, men inte dricker.",Du kan skåla men inte dricka,Du skålar men dricker inte.,"[""GR"", ""SEM""]",True,"[""A good champagne."", ""Is it cold?"", ""Yes, it's fine."", ""It's flat."", ""The cork is fine."", ""Let's see about the rest."", ""We'll sit you up, Don Antonio."", ""- Claudia."", ""- What?"", ""Dad.""]"
Get well soon.,Bli frisk snart.,Krya på dig!,Krya på dig.,"[""ID"", ""SEM""]",True,"[""The cork is fine."", ""Let's see about the rest."", ""We'll sit you up, Don Antonio."", ""- Claudia."", ""- What?"", ""Dad."", ""You'll toast but not drink."", ""Right."", ""Here's mine."", ""Cheers!""]"
Stop stalling and just blurt it out!,Sluta förhala och sudda ut det!,Sluta dra ut på det och bara säg nu!,Sluta dra ut på det och bara säg det!,"[""LF"", ""BET""]",True,"[""The day is too nice to die alone."", ""You all had your last meals, right?"", ""Why, you bastard!"", ""The one-armed swordsman!"", ""This is more and more interesting!"", ""Here are the tickets for you villainous bastards!"", ""What tickets?"", ""For the express train!"", ""Curiosity is killing me!"", ""I wonder what tickets Big Mouth with no balls got for us?""]"
These were hard tímes.,De här var hårda.,Det var tuffa tider,Det var svåra tider.,"[""SAK"", ""BET"", ""PR""]",True,"[""Couldn't go without him."", ""She seems like a sweet woman."", ""Yeah. I haven't had as much time with her as I would've--"", ""-You busy?"", ""I could use your help."", ""NURSE:"", ""Excuse me."", ""Sure."", ""\""Queenie would let me go with Mr. Daws...\"""", ""BENJAMIN: ... to Poverty Po\u00ednt to watch the boats go up and down the r\u00edver.""]"
Come back the other way.,Kom tillbaka åt andra hållet.,Kom tillbaka från andra hållet,Kom tillbaka åt andra hållet.,"[""SEM""]",False,"[""We lived four blocks from a public pool."", ""You know, you might've got a few more years out of it... but you chose to do something so special and unique... that there was only a short window of time you could do it."", ""So, even if nothing ever happened... you'd still be right here where you are now."", ""I just don't like getting old."", ""They put too much chlorine in here."", ""I promise you I'll never lose myself to self-pity again."", ""And I think right there and then she realized none of us is perfect forever."", ""She found peace."", ""She opened a studio and taught young girls how to dance."", ""And tendu.""]"
So you guys wanna play a little Truth or Dare?,Så ni vill spela lite Sanning eller Dare?,"Så, gänget, vill ni köra lite sanning eller konka?",Så ni vill köra lite Sanning eller Konsekvens?,"[""SAK"", ""BET""]",False,"[""[giggling]"", ""Oh, Emily, this is Matty."", ""He's a Sig."", ""Pleasure to meet you."", ""Ooh."", ""Hi, there."", ""- Oh."", ""- My bad."", ""Oh, no, that's fine."", ""These things happen all the time.""]"
Totally.,Helt och hållet.,Helt klart,Självklart.,"[""SEM""]",False,"[""We're cops."", ""Please, take the boxes."", ""I want them out of here."", ""Oh, okay, great."", ""You wouldn't happen to know where he was on July 21st, would you?"", ""Actually, I would."", ""He did a performance art piece that entire month."", ""He lived in a cage on the street and never left it."", ""The whole thing's on video."", ""Okay, great.""]"
You totally have to pick dare.,Du måste välja våga.,Du måste helt klart välja konka,Du måste helt klart välja konsekvens.,"[""SAK"", ""LF"", ""BET""]",True,"[""Hi, there."", ""- Oh."", ""- My bad."", ""Oh, no, that's fine."", ""These things happen all the time."", ""So you guys wanna play a little Truth or Dare?"", ""- Totally."", ""- I want to go first."", ""Okay."", ""Truth or dare?""]"
"You know, kissing a sister is an automatic in.",Att kyssa en syster är en automat.,"Vet du, att kyssa en syster är en automatisk väg in.","Du vet, att kyssa en syster är automatiskt ett ”in”.","[""SAK"", ""BET"", ""SEM""]",False,"[""These things happen all the time."", ""So you guys wanna play a little Truth or Dare?"", ""- Totally."", ""- I want to go first."", ""Okay."", ""Truth or dare?"", ""You totally have to pick dare."", ""Good call."", ""Dare."", ""I dare you to kiss me.""]"
"I want an auto in, too.",Jag vill också ha in en bil.,Jag vill också ha en automatisk väg in,Jag vill också ha ett automatiskt ”in”.,"[""SAK"", ""LF"", ""BET""]",False,"[""So you guys wanna play a little Truth or Dare?"", ""- Totally."", ""- I want to go first."", ""Okay."", ""Truth or dare?"", ""You totally have to pick dare."", ""Good call."", ""Dare."", ""I dare you to kiss me."", ""You know, kissing a sister is an automatic in.""]"
"You have to admit,our history has been a little bit checkered.",Du måste erkänna att vår historia har varit lite rutig.,Du måste erkänna att vår historia har varit lite trasslig,Du måste medge att vår historia har varit lite brokig.,"[""ID"", ""DIR"", ""BET""]",True,"[""Well,th-that's fairly significant."", ""It's's not exactly unexpected."", ""All right."", ""I'm here if you need me."", ""Oh,look,I'm stuffing my shirt."", ""Okay,I know my friends weren't the warmest last night."", ""I should have worn a parka."", ""They were just being protective."", ""From what?"", ""Me?""]"
"I'm not solely responsible for the checkering,okay?",Jag är inte ensam ansvarig för kontrollen.,"Jag är inte ensam ansvarig för det trasslet, okej?","Jag är inte ensam ansvarig för brokigheten, okej?","[""SAK"", ""LF"", ""BET""]",True,"[""It's's not exactly unexpected."", ""All right."", ""I'm here if you need me."", ""Oh,look,I'm stuffing my shirt."", ""Okay,I know my friends weren't the warmest last night."", ""I should have worn a parka."", ""They were just being protective."", ""From what?"", ""Me?"", ""You have to admit,our history has been a little bit checkered.""]"
Yes. They just happen to remember the other stuff.,Ja. De råkar bara komma ihåg de andra sakerna.,Ja. De bara råkar minnas allt det andra.,Ja. De råkar bara komma ihåg det andra.,"[""PR""]",True,"[""I'm here if you need me."", ""Oh,look,I'm stuffing my shirt."", ""Okay,I know my friends weren't the warmest last night."", ""I should have worn a parka."", ""They were just being protective."", ""From what?"", ""Me?"", ""You have to admit,our history has been a little bit checkered."", ""I'm not solely responsible for the checkering,okay?"", ""You tell 'em any of the good stuff?""]"
