english_source,swedish_opus,swedish_human,swedish_gpt,error_tags,gpt_comparison,gpt_error_tags,explanation,problem_description,gpt_comparison_comment,reviewer_suggestion,legacy_tags,context_5,context_10
Get a bus.,Hämta en buss.,Få hit en buss,Ta en buss.,['DIR' 'SEM'],LLM WORSE,['DIR' 'BET' 'SEM'],Syftar till att i en stressig situation säga åt någon att det behövs en (polis)buss på platsen,"Anpassning efter kontext och svensk språkkänsla. ""Get"" i en stressig situaiton = ""få hit""",(O) - LLM fel innebörd.,,Semantiskt,"['Get him.' 'Freeze!' 'Drop your weapon and put your hands in the air.'
 'Yeah.' ""I don't give a shit about him.""]","['- We need to set up a perimeter on this block.' '- Right away.'
 'And get the air unit headed this way.'
 'Shooter\'s a male, white, 35 to 40 years old... 6\'2"", 210, short blond hair... dark blue jeans, hole in left knee, green plaid shirt... over a long-sleeve white T-shirt, black tennis shoes.'
 ""He's got a silver. 38 snub nose, and he runs like a deer."" 'Get him.'
 'Freeze!' 'Drop your weapon and put your hands in the air.' 'Yeah.'
 ""I don't give a shit about him.""]"
Am I gaining ground Am I losing face,Håller jag på att vinna mark Förlorar jag ansiktet,Vinner jag terräng? Tappar jag ansiktet?,"Vinner jag mark, förlorar jag ansiktet.",['SEM' 'PR'],LLM WORSE,['SEM'],Syftar till att utrycka tveksamhet kring om man kommer någonstans i livet eller bara rör sig bakåt och förlorar all respekt,Låttext med idiomatisk betydelse som kräver användning av korrekt tillämpad översättning,"(O) - ""Förlorar jag ansiktet"" är fel. LLM missar att de två satserna båda är frågor.",,Idiomatiskt,"['We got an officer down.' 'So pretty and, oh, so bold'
 'Got a heart full of gold on a lonely road'
 '- She said, ""I don\'t even think that God can save me""' '- Save me']","['Freeze!' 'Drop your weapon and put your hands in the air.' 'Yeah.'
 ""I don't give a shit about him."" 'Get a bus.' 'We got an officer down.'
 'So pretty and, oh, so bold' 'Got a heart full of gold on a lonely road'
 '- She said, ""I don\'t even think that God can save me""' '- Save me']"
Thoughtful.,Tänksamt.,Omtänksamt,Eftertänksamt.,['LF' 'BET'],LLM WORSE,['LF' 'BET'],Syftar till att kommentera på att någon hade en bra tanke med sin handling,Felaktig översättning,"(O) - ""Thoughtful"" = ""Omtänksamt"" i det här fallet.",,"Ordval, betydelseförlust","['- Let go.' '- You scared the shit out of me.'
 'Would you have loaned me your minivan to bury him?' 'No.'
 ""- I was gonna wrap him in plastic, so I wouldn't transfer evidence.""]","[""I'm there."" ""I'm there."" 'I thought you killed him.'
 '- Rhetta, come on, man.' '- Thank God.' '- Let go.'
 '- You scared the shit out of me.'
 'Would you have loaned me your minivan to bury him?' 'No.'
 ""- I was gonna wrap him in plastic, so I wouldn't transfer evidence.""]"
"Riley is gonna make it, folks.",Riley klarar sig.,"Riley kommer klara sig, allihopa","Riley kommer att klara det, gott folk.",['SAK' 'SEM'],LLM WORSE,['SEM' 'PR'],Syftar till att förmedla hopp till en grupp människor om att hunden kommer må bra igen,Saknas ord.,(O) - LLM fel innebörd.,,"Ordval, betydelseförlust","[""He's wagging his tail."" 'He ate some food.' 'Ate a lot, I heard.'
 'I guess he was hungry.' 'This is always a good sign.']","['Well, he was always so good with you kids.' 'Please, be careful, honey.'
 'The church has been through so much.'
 ""...this morning, in case you haven't heard about it."" ""He's alert.""
 ""He's wagging his tail."" 'He ate some food.' 'Ate a lot, I heard.'
 'I guess he was hungry.' 'This is always a good sign.']"
"It is the end of chemistry, as we know it.","Det är slutet på kemin, som vi känner den.","Det här är slutet för kemin, som vi känner den.","Det är slutet för kemin, som vi känner den.",['PR'],LLM OK,[],Syftar till att att det som sker kommer att förändra hela det vetenskapliga fältet Kemi,Anpassning efter svensk språknorm och språkkänsla,,,Semantiskt,"['So, make sure that ...'
 'Four test tubes, three pipettes ... and a number of nozzles bunsen.'
 'Okay, everything seems be in order.' 'Keys.' 'Natalie, keys.']","['I pray to God that never happen to you.' 'Welcome, bad girl.'
 'All right, ladies and gentlemen please, cease its reports on my desk, sure you have cleaned well their tables, which were dirty.'
 'Or lose points on the test.'
 'If you have things missing, I immediately sought.'
 'So, make sure that ...'
 'Four test tubes, three pipettes ... and a number of nozzles bunsen.'
 'Okay, everything seems be in order.' 'Keys.' 'Natalie, keys.']"
"I'm a gold-digger, burrowing in from the land of opportunists.",Jag är en guldgrävare som gräver sig in från opportunisternas land.,"Jag är en gold-digger, som gräver sig in från opportunisternas land.","Jag är en gulddiggerska, som borrar mig in från opportunisternas land.",['PR'],LLM WORSE,['SEM' 'PR'],"Syftar till att göra en bildlig ordlek på uttrycket ""gold-digger"" dvs guldgrävare och","""gold-digger"" tillräckligt etablerat","(O) - ""Gold-digger"" bör ej översättas.",,Ordval,"[""- l don't care."" 'I do.'
 ""I know we need the heat, but please don't smoke.""
 ""Mother's clairvoyant about these things."" 'She loathes me, Johnnie.']","['Incoming!' 'Have you met my namesake?' ""He's very good in bed."" '- Shh!'
 ""They'll hear you."" ""- l don't care."" 'I do.'
 ""I know we need the heat, but please don't smoke.""
 ""Mother's clairvoyant about these things."" 'She loathes me, Johnnie.']"
With proper asphalt.,Med rätt asfalt.,Med ordentlig asfalt,Med ordentlig asfalt.,['SEM'],LLM OK,[],syftar till att ett vägarbete hade gjorts med ordentlig asfaltering,"""proper"" = ""ordentlig"" (rejäl, högkvallitativ, tålig)",,,semantiskt,"['- Yes, sir.' '- What did he want?' '- The usual.' 'He lost money.'
 ""If I had half the money they get, I'd pave it all.""]","['No.' ""Okay, I'll let Maria del Carmen know, and we'll look for it.""
 '- Emilse!' '- Yes, sir.' '- This is very serious.' '- Yes, sir.'
 '- What did he want?' '- The usual.' 'He lost money.'
 ""If I had half the money they get, I'd pave it all.""]"
It's flat.,Det är platt.,Den är avslagen.,Det är platt.,['DIR' 'BET'],LLM WORSE,['DIR' 'LF' 'BET'],Syftar till att champagnen inte har nåon kolsyra kvar,"""It's flat "" = (drycken) den har ingen kolsyra kvar dvs utslagen","(O) - LLM missar innebörd. Dock är ""avslagen"" korrekt ord för dryck som förlorat sin kolsyra.",Den är avslagen.,"Semantiskt, grammatiskt, betydelseförlust","['- Yes.' ""We'll see how it is after all this time."" 'A good champagne.'
 'Is it cold?' ""Yes, it's fine.""]","[""- I'm coming!"" ""- You'll open it, Senor Pablo?"" '- Yes.'
 ""Sorry, Antonio, but I've been waiting for that call since this morning.""
 ""- This is Mom's writing, isn't it?"" '- Yes.'
 ""We'll see how it is after all this time."" 'A good champagne.'
 'Is it cold?' ""Yes, it's fine.""]"
The cork is fine.,Korken är bra.,Korken är okej,Korken är okej.,['SEM'],LLM OK,[],Syftar till att korken inte har gått sönder,Anpassning efter svensk språknorm och språkkänsla,,,Semantiskt,"[""We'll see how it is after all this time."" 'A good champagne.'
 'Is it cold?' ""Yes, it's fine."" ""It's flat.""]","[""- You'll open it, Senor Pablo?"" '- Yes.'
 ""Sorry, Antonio, but I've been waiting for that call since this morning.""
 ""- This is Mom's writing, isn't it?"" '- Yes.'
 ""We'll see how it is after all this time."" 'A good champagne.'
 'Is it cold?' ""Yes, it's fine."" ""It's flat.""]"
Let's see about the rest.,Låt oss se om resten.,Då får vi kolla hur det är med resten,Låt oss se resten.,['DIR' 'SEM'],LLM WORSE,['DIR' 'BET' 'PR'],Syftar till att man kommer få se om resterande dryck är i ett bra skick,Anpassning efter kontext och svensk språkkänsla.,(O) - LLM låter för teatralisk.,,"Semantiskt, ordval, betydelseförlust","['A good champagne.' 'Is it cold?' ""Yes, it's fine."" ""It's flat.""
 'The cork is fine.']","['- Yes.'
 ""Sorry, Antonio, but I've been waiting for that call since this morning.""
 ""- This is Mom's writing, isn't it?"" '- Yes.'
 ""We'll see how it is after all this time."" 'A good champagne.'
 'Is it cold?' ""Yes, it's fine."" ""It's flat."" 'The cork is fine.']"
You'll toast but not drink.,"Du skålar, men inte dricker.",Du kan skåla men inte dricka,Du skålar men dricker inte.,['GR' 'SEM'],LLM OK,[],Syftar till att personen kan få skåla men inte får dricka alkoholen,Anpassning av efter svensk språknorm och språkkänsla,(O) - LLM funkar lika bra.,,semantiskt,"[""Let's see about the rest."" ""We'll sit you up, Don Antonio."" '- Claudia.'
 '- What?' 'Dad.']","['A good champagne.' 'Is it cold?' ""Yes, it's fine."" ""It's flat.""
 'The cork is fine.' ""Let's see about the rest.""
 ""We'll sit you up, Don Antonio."" '- Claudia.' '- What?' 'Dad.']"
Get well soon.,Bli frisk snart.,Krya på dig!,Krya på dig.,['ID' 'SEM'],LLM OK,[],Syftar till att förmedla att man hoppas någon mår bättre eller blir frisk snart. Idiomatiskt.,Traditionellt uttryck med svensk motsvarighet som bör tillämpas,,,Idiomatiskt,"['Dad.' ""You'll toast but not drink."" 'Right.' ""Here's mine."" 'Cheers!']","['The cork is fine.' ""Let's see about the rest.""
 ""We'll sit you up, Don Antonio."" '- Claudia.' '- What?' 'Dad.'
 ""You'll toast but not drink."" 'Right.' ""Here's mine."" 'Cheers!']"
Stop stalling and just blurt it out!,Sluta förhala och sudda ut det!,Sluta dra ut på det och bara säg nu!,Sluta dra ut på det och bara säg det!,['LF' 'BET'],LLM OK,[],Syftar till att säga åt någon att inte dra ut på tiden utan bara berätta det man vill höra,"Anpassning efter kontext och svensk språkkänsla. ""To stall"" = ""dra ut på tiden"" i kontexten.",(O) - LLM funkar lika bra.,,"Semantiskt, betydelseförlust","['Here are the tickets for you villainous bastards!' 'What tickets?'
 'For the express train!' 'Curiosity is killing me!'
 'I wonder what tickets Big Mouth with no balls got for us?']","['The day is too nice to die alone.' 'You all had your last meals, right?'
 'Why, you bastard!' 'The one-armed swordsman!'
 'This is more and more interesting!'
 'Here are the tickets for you villainous bastards!' 'What tickets?'
 'For the express train!' 'Curiosity is killing me!'
 'I wonder what tickets Big Mouth with no balls got for us?']"
These were hard tímes.,De här var hårda.,Det var tuffa tider,Det var svåra tider.,['SAK' 'BET' 'PR'],LLM OK,[],Syftar till att man genomlevt en tuff tidsperiod,Saknas ord. Anpassning.,(O) - LLM funkar lika bra.,,"Ordval, betydelseförlust","['NURSE:' 'Excuse me.' 'Sure.'
 '""Queenie would let me go with Mr. Daws...""'
 'BENJAMIN: ... to Poverty Poínt to watch the boats go up and down the ríver.']","[""Couldn't go without him."" 'She seems like a sweet woman.'
 ""Yeah. I haven't had as much time with her as I would've--"" '-You busy?'
 'I could use your help.' 'NURSE:' 'Excuse me.' 'Sure.'
 '""Queenie would let me go with Mr. Daws...""'
 'BENJAMIN: ... to Poverty Poínt to watch the boats go up and down the ríver.']"
Come back the other way.,Kom tillbaka åt andra hållet.,Kom tillbaka från andra hållet,Kom tillbaka åt andra hållet.,['SEM'],LLM WORSE,['SEM'],Syftar till att någon kan ta en annan väg till platsen,Anpassning efter kontext,(O) - LLM fel innebörd.,,"Semantiskt, betydelseförlust","[""I promise you I'll never lose myself to self-pity again.""
 'And I think right there and then she realized none of us is perfect forever.'
 'She found peace.'
 'She opened a studio and taught young girls how to dance.' 'And tendu.']","['We lived four blocks from a public pool.'
 ""You know, you might've got a few more years out of it... but you chose to do something so special and unique... that there was only a short window of time you could do it.""
 ""So, even if nothing ever happened... you'd still be right here where you are now.""
 ""I just don't like getting old."" 'They put too much chlorine in here.'
 ""I promise you I'll never lose myself to self-pity again.""
 'And I think right there and then she realized none of us is perfect forever.'
 'She found peace.'
 'She opened a studio and taught young girls how to dance.' 'And tendu.']"
So you guys wanna play a little Truth or Dare?,Så ni vill spela lite Sanning eller Dare?,"Så, gänget, vill ni köra lite sanning eller konka?",Så ni vill köra lite Sanning eller Konsekvens?,['SAK' 'BET'],LLM WORSE,['SAK' 'PR'],Syftar till att fråga en grupp om de vill köra leken sanning eller konsekvens.,Anpassning genom mer ordagrann översättning. Truth or Dare = Sanning eller konka (konsekvens),(O) - LLM blir ett antagande istället för en fråga.,,"Ordval, betydelseförlust","['Hi, there.' '- Oh.' '- My bad.' ""Oh, no, that's fine.""
 'These things happen all the time.']","['[giggling]' 'Oh, Emily, this is Matty.' ""He's a Sig.""
 'Pleasure to meet you.' 'Ooh.' 'Hi, there.' '- Oh.' '- My bad.'
 ""Oh, no, that's fine."" 'These things happen all the time.']"
Totally.,Helt och hållet.,Helt klart,Självklart.,['SEM'],LLM WORSE,['SEM'],Syftar till att bekräfta att man vill,"Anpassning efter kontext. ""Totally"" självstående = ""helt klart""","(O) - Tycker ""självklart"" funkar i den givna kontexten, men ""självklart"" och ""totally"" matchar inte riktigt i ton.",,Semantiskt,"['Actually, I would.' 'He did a performance art piece that entire month.'
 'He lived in a cage on the street and never left it.'
 ""The whole thing's on video."" 'Okay, great.']","[""We're cops."" 'Please, take the boxes.' 'I want them out of here.'
 'Oh, okay, great.'
 ""You wouldn't happen to know where he was on July 21st, would you?""
 'Actually, I would.' 'He did a performance art piece that entire month.'
 'He lived in a cage on the street and never left it.'
 ""The whole thing's on video."" 'Okay, great.']"
You totally have to pick dare.,Du måste välja våga.,Du måste helt klart välja konka,Du måste helt klart välja konsekvens.,['SAK' 'LF' 'BET'],LLM OK,[],"Syftar till att uppmana till att en person ska välja att spela ""konka"", alltså konsekvens, i sanning eller konka/konsekvens","Anpassning efter kontext. ""Totally"" som förstärkande = ""helt klart""",(O) - LLM funkar lika bra.,,"Semantiskt, ordval","['So you guys wanna play a little Truth or Dare?' '- Totally.'
 '- I want to go first.' 'Okay.' 'Truth or dare?']","['Hi, there.' '- Oh.' '- My bad.' ""Oh, no, that's fine.""
 'These things happen all the time.'
 'So you guys wanna play a little Truth or Dare?' '- Totally.'
 '- I want to go first.' 'Okay.' 'Truth or dare?']"
"You know, kissing a sister is an automatic in.",Att kyssa en syster är en automat.,"Vet du, att kyssa en syster är en automatisk väg in.","Du vet, att kyssa en syster är automatiskt ett ”in”.",['SAK' 'BET' 'SEM'],LLM WORSE,['PR'],Syftar till att förmedla att akten att kyssa en syster kommer leda till att man blir inkluderad,"Saknas ord. ""an automatic in"" = ""automatisk väg in""","(O) - ""In"" som självstående uttryck är inte tillräckligt etablerat. Och tycker ""ett ""in"""" låter udda. En ""in"" låter bättre.",,"Ordval, semantiskt, betydelseförlust","['Truth or dare?' 'You totally have to pick dare.' 'Good call.' 'Dare.'
 'I dare you to kiss me.']","['These things happen all the time.'
 'So you guys wanna play a little Truth or Dare?' '- Totally.'
 '- I want to go first.' 'Okay.' 'Truth or dare?'
 'You totally have to pick dare.' 'Good call.' 'Dare.'
 'I dare you to kiss me.']"
"I want an auto in, too.",Jag vill också ha in en bil.,Jag vill också ha en automatisk väg in,Jag vill också ha ett automatiskt ”in”.,['SAK' 'LF' 'BET'],LLM WORSE,['PR'],Syftar till att kommentera på att man också vill bli inkluderad per automatik om man gör något,"Felaktig översättning.  ""an auto in"" = ""en automatisk väg in""",(O) - Samma som ovan.,,"semantiskt, ordval, betydelseförlust","['You totally have to pick dare.' 'Good call.' 'Dare.'
 'I dare you to kiss me.' 'You know, kissing a sister is an automatic in.']","['So you guys wanna play a little Truth or Dare?' '- Totally.'
 '- I want to go first.' 'Okay.' 'Truth or dare?'
 'You totally have to pick dare.' 'Good call.' 'Dare.'
 'I dare you to kiss me.' 'You know, kissing a sister is an automatic in.']"
"You have to admit,our history has been a little bit checkered.",Du måste erkänna att vår historia har varit lite rutig.,Du måste erkänna att vår historia har varit lite trasslig,Du måste medge att vår historia har varit lite brokig.,['ID' 'DIR' 'BET'],LLM OK,[],Syftar till att påpeka att en relation mellan personer historiskt sett varit lite problematisk (idiomatiskt),Uttryck som inte finns i svenska och kräver anpassning genom motsvarande ord,(O) - Båda funkar bra.,,Idiomatiskt,"[""Okay,I know my friends weren't the warmest last night.""
 'I should have worn a parka.' 'They were just being protective.'
 'From what?' 'Me?']","[""Well,th-that's fairly significant."" ""It's's not exactly unexpected.""
 'All right.' ""I'm here if you need me."" ""Oh,look,I'm stuffing my shirt.""
 ""Okay,I know my friends weren't the warmest last night.""
 'I should have worn a parka.' 'They were just being protective.'
 'From what?' 'Me?']"
"I'm not solely responsible for the checkering,okay?",Jag är inte ensam ansvarig för kontrollen.,"Jag är inte ensam ansvarig för det trasslet, okej?","Jag är inte ensam ansvarig för brokigheten, okej?",['SAK' 'LF' 'BET'],LLM OK,[],"Syftar till att besvara att det är flera parter som orsakat tumult, trassel, i relationen",Saknas ord. Idiomatiskt uttryck som inte finns i svenska och kräver anpassning genom motsvarande ord,(O) - Båda funkar bra ihop med sina respektive föregående fraser.,,Idiomatiskt,"['I should have worn a parka.' 'They were just being protective.'
 'From what?' 'Me?'
 'You have to admit,our history has been a little bit checkered.']","[""It's's not exactly unexpected."" 'All right.' ""I'm here if you need me.""
 ""Oh,look,I'm stuffing my shirt.""
 ""Okay,I know my friends weren't the warmest last night.""
 'I should have worn a parka.' 'They were just being protective.'
 'From what?' 'Me?'
 'You have to admit,our history has been a little bit checkered.']"
Yes. They just happen to remember the other stuff.,Ja. De råkar bara komma ihåg de andra sakerna.,Ja. De bara råkar minnas allt det andra.,Ja. De råkar bara komma ihåg det andra.,['PR'],LLM OK,[],Syftar till att det hänt positiva saker men folk minns bara det andra negativa,Anpassning av efter svensk språknorm och språkkänsla,(O) - Båda funkar bra.,,Semantiskt,"['From what?' 'Me?'
 'You have to admit,our history has been a little bit checkered.'
 ""I'm not solely responsible for the checkering,okay?""
 ""You tell 'em any of the good stuff?""]","[""I'm here if you need me."" ""Oh,look,I'm stuffing my shirt.""
 ""Okay,I know my friends weren't the warmest last night.""
 'I should have worn a parka.' 'They were just being protective.'
 'From what?' 'Me?'
 'You have to admit,our history has been a little bit checkered.'
 ""I'm not solely responsible for the checkering,okay?""
 ""You tell 'em any of the good stuff?""]"
They--they'll warm up to you.You're different.,De värmer upp dig. Du är annorlunda.,De... de kommer vänja sig så småningom. Du är annorlunda.,De… de kommer att tina upp mot dig. Du är annorlunda.,['ID' 'LF' 'BET'],LLM WORSE,['ID' 'DIR' 'BET'],Syftar till att vännerna kommer lära känna personen och man anser denne annorlunda på ett positivt sätt,Uttryck som kräver tillämpning av svenskt idiom för anpassning efter kontext,"(O) - Svår fras att översätta. ""Tina upp mot dig"" förmedlar samma budskap men är inte etablerat som uttryck.",De... de kommer vänja sig så småningom. Du är annorlunda.,"Idiomatiskt, ordval, betydelseförlust","['Me?' 'You have to admit,our history has been a little bit checkered.'
 ""I'm not solely responsible for the checkering,okay?""
 ""You tell 'em any of the good stuff?""
 'Yes.They just happen to remember the other stuff.']","[""Oh,look,I'm stuffing my shirt.""
 ""Okay,I know my friends weren't the warmest last night.""
 'I should have worn a parka.' 'They were just being protective.'
 'From what?' 'Me?'
 'You have to admit,our history has been a little bit checkered.'
 ""I'm not solely responsible for the checkering,okay?""
 ""You tell 'em any of the good stuff?""
 'Yes.They just happen to remember the other stuff.']"
I am not uptight,Jag är inte spänd.,Jag är inte stel.,Jag är inte spänd.,['SEM'],LLM WORSE,['SEM'],Syftar till att säga emot att man inte är en stel/spänd person.,"Ordet ""uptight"" finns inte i svenskan, så det krävs ett liknande uttryck som ungefär betyder det.","(O) - ""Spänd"" hade varit mer korrekt som översättning till ""tense"".",,Semantiskt,"[""They're more."" 'bohemian.'
 ""Come on,admit it.They just think I'm boring.""
 ""No,they just think you're."" 'uptight.']","['You have to admit,our history has been a little bit checkered.'
 ""I'm not solely responsible for the checkering,okay?""
 ""You tell 'em any of the good stuff?""
 'Yes.They just happen to remember the other stuff.'
 ""They--they'll warm up to you.You're different."" ""They're more.""
 'bohemian.' ""Come on,admit it.They just think I'm boring.""
 ""No,they just think you're."" 'uptight.']"
Let's get him home.,Låt oss få hem honom.,Vi följer honom hem.,Låt oss ta hem honom.,['DIR' 'BET'],LLM WORSE,['DIR' 'SEM'],Syftar till att säga att man själv och en/flera personer till ska hjälpas åt att få hem personen,Direktöversättning som kräver anpassning efter kontext,(O) - se problembeskrivning/åtgärd.,,"Grammatiskt, Semantiskt","['You could have stepped on it.' 'She told me to shoot it.' ""It's clear.""
 'You did a good job.' 'You, too.']","[""It's the parasite, it's moving."" ""Maybe it knows we're going after it.""
 ""I don't think so.""
 ""I think it instinctually wants to get away from the radiation source, and we've just shown it the way out.""
 ""Ronon, we're going to need that gun of yours in about 10 seconds.""
 'You could have stepped on it.' 'She told me to shoot it.' ""It's clear.""
 'You did a good job.' 'You, too.']"
Why don't you go get some sleep?,Gå och lägg dig.,Ska inte du gå och försöka sova lite?,Varför går du inte och sover lite?,['SAK' 'SEM'],LLM WORSE,['SEM'],Syftar till att uppmana till att någon ska gå och sova då ett sånt behov verkar finnas. Idiomatiskt,Anpassning genom mer ordagrann översättning. Anpassning efter svensk språknorm och språkkänsla,"(O) - LLM funkar okej, men ordval gör att den låter ifrågasättande på ett sätt som den ursprungliga frasen inte gör.",,Semantiskt,"['She told me to shoot it.' ""It's clear."" 'You did a good job.'
 'You, too.' ""Let's get him home.""]","[""Maybe it knows we're going after it."" ""I don't think so.""
 ""I think it instinctually wants to get away from the radiation source, and we've just shown it the way out.""
 ""Ronon, we're going to need that gun of yours in about 10 seconds.""
 'You could have stepped on it.' 'She told me to shoot it.' ""It's clear.""
 'You did a good job.' 'You, too.' ""Let's get him home.""]"
There was so much to spare.,Det fanns så mycket att spara.,Det fanns så mycket till övers,Det fanns så mycket över.,['SEM'],LLM WORSE,['SEM'],Syftar till att informera om att det fanns så mycket av något att man kunde spara det som fanns till övers,Anpassning efter kontext och innebörd. TIllämpning av svenskt uttryck,(O) - AÖ tydligare.,,"Semantiskt, betydelseförlust","['Well, it could be a while.' 'He does love to sleep, our Rodney.'
 ""You should've seen him when he was a teenager.""
 'Who can sleep with all the talking?' 'You still all there?']","[""Let's get him home."" ""Why don't you go get some sleep?""
 ""I'm gonna be here all night."" ""It's okay.""
 ""I'd like to be here when he wakes up."" 'Well, it could be a while.'
 'He does love to sleep, our Rodney.'
 ""You should've seen him when he was a teenager.""
 'Who can sleep with all the talking?' 'You still all there?']"
Peckish.,Taskigt.,Sugen.,Lite småhungrig.,['LF' 'BET'],LLM OK,[],Syftar till att svara på frågan om man är hungrig med att man är sugen,"Felaktig översättning.  ""peckish"" = ""Sugen""",(O) - Båda funkar bra.,,"Ordval, betydelseförlust","['Thank you.' ""You're welcome."" 'That was scary.' 'For me, too.'
 'You hungry?']","['Hi.' 'Hi.' 'You still all there?' 'Well, there was so much to spare.'
 '(McKAY sighing)' 'Thank you.' ""You're welcome."" 'That was scary.'
 'For me, too.' 'You hungry?']"
Loved you for some time now.,Jag älskade dig ett tag nu.,Älskat dig ett tag nu,Älskat dig ett tag nu.,['ADD' 'GR' 'SEM'],LLM OK,[],Syftar till att säga att man älskat personen under en tid nu,Felaktig form på översättning,,,Grammatiskt,"['Peckish.' ""I'll go order you something.""
 ""Jennifer, there's something I wanted to... while I remember, while I still can, there's something I wanted to say before, uh... go ahead.""
 'I, uh...' 'I love you.']","['Thank you.' ""You're welcome."" 'That was scary.' 'For me too.'
 'Are you hungry?' 'Peckish.' ""I'll go order you something.""
 ""Jennifer, there's something I wanted to... while I remember, while I still can, there's something I wanted to say before, uh... go ahead.""
 'I, uh...' 'I love you.']"
Just wanted to wish you happy birthday.,Jag ville bara önska dig lycka till på födelsedagen.,Jag vill bara önska dig grattis på födelsedagen,Ville bara önska dig grattis på födelsedagen.,['ADD' 'BET' 'SEM'],LLM OK,[],Syftar till att man bara ville gratulera personen på denens födelsedag,Direktöversättning som kräver anpassad översättning av uttryck,(O) - Båda funkar bra.,,"Idiomatiskt, ordval, betydelseförlust","[""Because I'd only do a favor like that for someone turning 46."" 'Thanks.'
 'It was good of you to call.' 'Bye.' 'Hey, Mom.']","['If you wanna be sweet, get someone to fix that drip under the kitchen sink.'
 ""It's gotten worse, and the plumber's on vacation.""
 'How old are you, Norah?' '- Forty-six.' ""- Well, that's good.""
 ""Because I'd only do a favor like that for someone turning 46."" 'Thanks.'
 'It was good of you to call.' 'Bye.' 'Hey, Mom.']"
"Great show last night, man.",Bra show i går kväll.,"Fantastisk show igår kväll, mannen","Grym show igår kväll, mannen.",['SAK' 'SEM'],LLM OK,[],Syftar till att ge en positiv kommentar om en föreställning,"""Great"" = bättre än bra = ""fantastisk"". Saknas ord",(O) - LLM funkar lika bra.,,Ordval,"['I love you so much, and I count the days until we marry.' 'David.'
 'David?' 'David?' '- To Carrie?']","['Hey, Mom.' 'Just wanted to wish you happy birthday.' 'I love you.'
 'Bye.' 'Happy birthday.'
 'I love you so much, and I count the days until we marry.' 'David.'
 'David?' 'David?' '- To Carrie?']"
Backstage.,Bakom scenen.,Backstage,Backstage.,['SEM'],LLM OK,[],Syftar till att hänvisa till området bakom scenen,"Backstage är ett uttryck som är ganska allmänt. Man skulle kunna säga ""logen"" på svenska men här framkommer det inte exakt var man menar och då fungerar Backstage då det är tillräckligt etablerat i svenskan",,,Ordval,"['David?' '- To Carrie?' '- Great show last night, man.'
 '- You were terrific.' '- Thanks.']","['Bye.' 'Happy birthday.'
 'I love you so much, and I count the days until we marry.' 'David.'
 'David?' 'David?' '- To Carrie?' '- Great show last night, man.'
 '- You were terrific.' '- Thanks.']"
Otherwise it's nag nag nag.,Annars är det nag nag nag.,Annars blir det tjat tjat tjat,"Annars är det tjat, tjat, tjat.",['SAK' 'BET'],LLM WORSE,['DIR' 'SEM'],Syftar till att förmedla att det behöver vara på ett visst sätt annars kommer det bara tjatas negativa ord från en viss person,"Felaktig översättning. ""nag"" = ""tjat""",(O) - Frasen syftar till att om inte någonting särskilt händer så kommer det innebära tjat. AÖ därför mer korrekt.,,"Ordval, betydelseförlust","['Bye.' 'What, do you tell her every detail of your day, Drama?' 'Yup.'
 ""Jaqueline's the real jealous type.""
 'So I got to make sure all my time is accounted for,']","[""And then I'll race home just in time to tuck you in.""
 ""Don't you worry, babe."" 'Oh, I miss you.' 'Okay.' 'Tweet.' 'Bye.'
 'What, do you tell her every detail of your day, Drama?' 'Yup.'
 ""Jaqueline's the real jealous type.""
 'So I got to make sure all my time is accounted for,']"
I'm not calling about Vince.,Jag ringer inte om Vince.,Jag ringer inte gällande Vince,Jag ringer inte om Vince.,['SEM'],LLM WORSE,['PR'],Syftar till att kommunicera att man ringer av en annan anledning som inte har med Vince att göra,Anpassning av efter svensk språknorm och språkkänsla,"(O) - LLM funkar i vardagsspråk, men AÖ mer korrekt.",,Ordval,"['- Jesus, be less friendly.'
 'If you have business to discuss, start talking.'
 'I want to talk to you about that script I found.'
 '- What did I tell you this morning?' '- Relax.']","['So, Justine, you have any other spare friends lying around for me?'
 ""E's on the phone."" 'why?' ""I don't know, but he sounds enthusiastic.""
 '- What?' '- Jesus, be less friendly.'
 'If you have business to discuss, start talking.'
 'I want to talk to you about that script I found.'
 '- What did I tell you this morning?' '- Relax.']"
Nuts!,Nötter!,Galet!,Tokigt!,['SL' 'DIR' 'BET'],LLM WORSE,['SL' 'SEM'],Syftar till att uttrycka att något är helt galet (idiomatiskt),"""nuts"" = ""galet""","(O) - Båda funkar, men ""galet"" matchar tonen bättre.",,"Idiomatiskt, betydelseförlust","['Barbie' ""Don't cry!"" 'I hold myself responsible for this'
 'Let me come with you' 'Damn you!']","['Wake up' 'Bonnie' 'How are they?' 'Miss Watt please hold her'
 'Sit down Sit down' 'Barbie' ""Don't cry!""
 'I hold myself responsible for this' 'Let me come with you' 'Damn you!']"
